,Clean Channels,N. trials,M0,M1,M2,captured variance after PCA,N. trials w/o Outliers ,M0 w/o Outliers ,M1 w/o Outliers ,M2 w/o Outliers ,test size
<<<<<<< HEAD
gamma1,48.0,648.0,216.0,324.0,108.0,0.8989030280044765,636.0,216.0,313.0,107.0,65.0
gamma2,48.0,648.0,216.0,108.0,324.0,0.9121893098162553,644.0,215.0,107.0,322.0,65.0
beta1,48.0,648.0,216.0,324.0,108.0,0.9630816045804285,643.0,216.0,319.0,108.0,65.0
beta2,48.0,648.0,216.0,108.0,324.0,0.9571941240330868,646.0,215.0,108.0,323.0,65.0
alpha1,48.0,648.0,216.0,324.0,108.0,0.9866506197091387,645.0,216.0,321.0,108.0,65.0
alpha2,48.0,648.0,216.0,108.0,324.0,0.9645916912143304,645.0,214.0,108.0,323.0,65.0
noFilter1,48.0,648.0,216.0,324.0,108.0,0.9942442440895871,644.0,216.0,320.0,108.0,65.0
noFilter2,48.0,648.0,216.0,108.0,324.0,0.948481040596353,642.0,213.0,106.0,323.0,64.0
=======
gamma1,48.0,648.0,216.0,324.0,108.0,0.8989030280044765,636.0,216.0,313.0,107.0,21.400000000000002
gamma2,48.0,648.0,216.0,108.0,324.0,0.9121893098162553,644.0,215.0,107.0,322.0,21.400000000000002
beta1,48.0,648.0,216.0,324.0,108.0,0.9630816045804285,643.0,216.0,319.0,108.0,21.6
beta2,48.0,648.0,216.0,108.0,324.0,0.9571941240330868,646.0,215.0,108.0,323.0,21.6
alpha1,48.0,648.0,216.0,324.0,108.0,0.9866506197091387,645.0,216.0,321.0,108.0,21.6
alpha2,48.0,648.0,216.0,108.0,324.0,0.9645916912143304,645.0,214.0,108.0,323.0,21.6
noFilter1,48.0,648.0,216.0,324.0,108.0,0.9942442440895871,644.0,216.0,320.0,108.0,21.6
noFilter2,48.0,648.0,216.0,108.0,324.0,0.948481040596353,642.0,213.0,106.0,323.0,21.200000000000003
>>>>>>> 3de395fe42d13c0f59a6b4501a0b12244fe463cb
