,Clean Channels,N. trials,M0,M1,M2,captured variance after PCA,N. trials w/o Outliers ,M0 w/o Outliers ,M1 w/o Outliers ,M2 w/o Outliers ,test size
<<<<<<< HEAD
gamma1,50.0,648.0,216.0,216.0,216.0,0.8677103728767479,633.0,207.0,214.0,212.0,125.0
gamma2,50.0,648.0,216.0,216.0,216.0,0.8737304913998152,628.0,208.0,212.0,208.0,125.0
beta1,50.0,648.0,216.0,216.0,216.0,0.9867383092939401,636.0,208.0,216.0,212.0,125.0
beta2,50.0,648.0,216.0,216.0,216.0,0.6907991927222349,621.0,206.0,208.0,207.0,124.0
alpha1,50.0,648.0,216.0,216.0,216.0,0.9951115491937396,636.0,207.0,216.0,213.0,125.0
alpha2,50.0,648.0,216.0,216.0,216.0,0.5790317687639721,615.0,204.0,205.0,206.0,123.0
noFilter1,50.0,648.0,216.0,216.0,216.0,0.9901183711130599,645.0,215.0,215.0,215.0,129.0
noFilter2,50.0,648.0,216.0,216.0,216.0,0.5930468582649335,636.0,212.0,213.0,211.0,127.0
=======
gamma1,50.0,648.0,216.0,216.0,216.0,0.8677103728767479,633.0,207.0,214.0,212.0,41.400000000000006
gamma2,50.0,648.0,216.0,216.0,216.0,0.8737304913998152,628.0,208.0,212.0,208.0,41.6
beta1,50.0,648.0,216.0,216.0,216.0,0.9867383092939401,636.0,208.0,216.0,212.0,41.6
beta2,50.0,648.0,216.0,216.0,216.0,0.6907991927222349,621.0,206.0,208.0,207.0,41.2
alpha1,50.0,648.0,216.0,216.0,216.0,0.9951115491937396,636.0,207.0,216.0,213.0,41.400000000000006
alpha2,50.0,648.0,216.0,216.0,216.0,0.5790317687639721,615.0,204.0,205.0,206.0,40.800000000000004
noFilter1,50.0,648.0,216.0,216.0,216.0,0.9901183711130599,645.0,215.0,215.0,215.0,43.0
noFilter2,50.0,648.0,216.0,216.0,216.0,0.5930468582649335,636.0,212.0,213.0,211.0,42.2
>>>>>>> 3de395fe42d13c0f59a6b4501a0b12244fe463cb
