,Clean Channels,N. trials,M0,M1,M2,captured variance after PCA,N. trials w/o Outliers ,M0 w/o Outliers ,M1 w/o Outliers ,M2 w/o Outliers ,test size
<<<<<<< HEAD
gamma1,29.0,648.0,216.0,108.0,324.0,0.9096926151975719,625.0,216.0,108.0,301.0,65.0
gamma2,29.0,648.0,216.0,324.0,108.0,0.8153168931924428,620.0,213.0,320.0,87.0,53.0
beta1,29.0,648.0,216.0,108.0,324.0,0.82682376293103,643.0,216.0,108.0,319.0,65.0
beta2,29.0,648.0,216.0,324.0,108.0,0.7423043361261058,614.0,195.0,320.0,99.0,60.0
alpha1,29.0,648.0,216.0,108.0,324.0,0.9518714109556522,645.0,216.0,108.0,321.0,65.0
alpha2,29.0,648.0,216.0,324.0,108.0,0.7278549377737624,617.0,195.0,322.0,100.0,60.0
noFilter1,29.0,648.0,216.0,108.0,324.0,0.9813035480992421,640.0,216.0,108.0,316.0,65.0
noFilter2,29.0,648.0,216.0,324.0,108.0,0.6158126069882195,619.0,212.0,320.0,87.0,53.0
=======
gamma1,29.0,648.0,216.0,108.0,324.0,0.9096926151975719,625.0,216.0,108.0,301.0,21.6
gamma2,29.0,648.0,216.0,324.0,108.0,0.8153168931924428,620.0,213.0,320.0,87.0,17.400000000000002
beta1,29.0,648.0,216.0,108.0,324.0,0.82682376293103,643.0,216.0,108.0,319.0,21.6
beta2,29.0,648.0,216.0,324.0,108.0,0.7423043361261058,614.0,195.0,320.0,99.0,19.8
alpha1,29.0,648.0,216.0,108.0,324.0,0.9518714109556522,645.0,216.0,108.0,321.0,21.6
alpha2,29.0,648.0,216.0,324.0,108.0,0.7278549377737624,617.0,195.0,322.0,100.0,20.0
noFilter1,29.0,648.0,216.0,108.0,324.0,0.9813035480992421,640.0,216.0,108.0,316.0,21.6
noFilter2,29.0,648.0,216.0,324.0,108.0,0.6158126069882195,619.0,212.0,320.0,87.0,17.400000000000002
>>>>>>> 3de395fe42d13c0f59a6b4501a0b12244fe463cb
